docId,filename,top topics, and contribution to doc ...
1,null-source,10,0.500,2,0.500
2,null-source,10,0.500,5,0.500
3,null-source,4,1.000
4,null-source,9,0.500,6,0.500
5,null-source,10,0.333,8,0.167,5,0.167,3,0.167,2,0.167
6,null-source,4,1.000
7,null-source,7,0.500,4,0.500
8,null-source,7,0.500,5,0.500
9,null-source,10,0.250,8,0.250,5,0.250,2,0.250
10,null-source,2,0.500,1,0.500
11,null-source,8,0.500,3,0.500
12,null-source,8,0.500,2,0.500
13,null-source,10,0.500,3,0.500
14,null-source,8,0.500,3,0.500
15,null-source,10,0.500,3,0.500
16,null-source,10,0.500,3,0.500
17,null-source,9,0.500,8,0.500
18,null-source,10,0.500,6,0.500
19,null-source,3,0.500,2,0.500
20,null-source,6,0.500,5,0.500
21,null-source,9,0.667,5,0.333
22,null-source,9,1.000
23,null-source,3,0.500,1,0.500
24,null-source,7,0.500,2,0.500
25,null-source,6,0.400,10,0.200,3,0.200,2,0.200
26,null-source,10,0.500,2,0.500
27,null-source,10,0.500,2,0.500
28,null-source,5,0.500,2,0.500
29,null-source,2,0.333,6,0.167,5,0.167,4,0.167,3,0.167
30,null-source,8,0.500,3,0.500
31,null-source,9,0.500,5,0.500
32,null-source,8,0.500,5,0.500
33,null-source,5,0.600,3,0.200,2,0.200
34,null-source,4,0.500,1,0.500
35,null-source,8,1.000
36,null-source,10,0.500,5,0.500
37,null-source,5,0.500,3,0.500
38,null-source,7,0.500,6,0.500
39,null-source,6,0.500,5,0.500
40,null-source,5,0.500,2,0.500
41,null-source,9,0.500,8,0.500
42,null-source,8,1.000
43,null-source,7,0.500,1,0.500
44,null-source,8,0.500,5,0.500
45,null-source,4,0.500,1,0.500
46,null-source,8,0.500,1,0.500
47,null-source,10,0.500,5,0.500
48,null-source,3,0.500,2,0.500
49,null-source,3,0.500,9,0.250,4,0.250
50,null-source,9,0.500,6,0.500
51,null-source,8,0.500,5,0.500
52,null-source,4,0.500,2,0.500
53,null-source,6,0.500,4,0.500
54,null-source,5,0.500,2,0.500
55,null-source,5,0.500,1,0.500
56,null-source,5,0.500,4,0.500
57,null-source,4,0.500,9,0.250,8,0.250
58,null-source,3,0.500,2,0.500
59,null-source,6,0.500,5,0.500
60,null-source,8,0.500,1,0.500
61,null-source,2,1.000
62,null-source,8,0.500,5,0.500
63,null-source,3,0.500,1,0.500
64,null-source,6,0.500,4,0.500
65,null-source,5,0.333,1,0.333,9,0.167,8,0.167
66,null-source,10,0.500,2,0.500
67,null-source,4,0.500,2,0.500
68,null-source,8,0.500,2,0.500
69,null-source,9,0.500,3,0.500
70,null-source,8,0.500,1,0.500
71,null-source,7,0.500,1,0.500
72,null-source,10,0.500,3,0.500
73,null-source,9,0.500,3,0.500
74,null-source,9,0.500,7,0.500
75,null-source,10,0.500,1,0.500
76,null-source,7,0.500,1,0.500
77,null-source,4,0.333,2,0.333,7,0.167,6,0.167
78,null-source,9,0.500,6,0.500
79,null-source,9,0.500,4,0.500
80,null-source,3,0.500,2,0.500
81,null-source,2,0.500,7,0.250,6,0.250
82,null-source,6,0.500,1,0.500
83,null-source,8,0.500,7,0.500
84,null-source,10,0.500,9,0.500
85,null-source,7,0.500,8,0.250,2,0.250
86,null-source,9,0.500,4,0.500
87,null-source,10,0.500,9,0.500
88,null-source,3,0.500,2,0.500
89,null-source,9,0.500,5,0.500
90,null-source,2,1.000
91,null-source,8,1.000
92,null-source,7,0.500,6,0.500
93,null-source,8,0.333,2,0.333,5,0.167,4,0.167
94,null-source,6,0.500,1,0.500
95,null-source,7,0.500,6,0.500
96,null-source,6,0.500,1,0.500
97,null-source,9,0.500,10,0.250,8,0.250
98,null-source,9,0.500,1,0.500
99,null-source,9,0.500,2,0.500
100,null-source,10,1.000
101,null-source,8,0.250,6,0.250,5,0.167,9,0.083,7,0.083,3,0.083,2,0.083
102,null-source,4,1.000
103,null-source,4,0.500,2,0.500
104,null-source,6,0.500,2,0.500
105,null-source,6,0.400,8,0.200,5,0.200,1,0.200
106,null-source,6,0.500,2,0.500
107,null-source,6,0.500,5,0.500
108,null-source,10,0.500,8,0.500
109,null-source,8,0.400,5,0.200,4,0.200,3,0.200
110,null-source,7,1.000
111,null-source,9,0.500,5,0.500
112,null-source,4,0.500,3,0.500
113,null-source,3,0.500,2,0.500
114,null-source,8,1.000
115,null-source,6,0.500,4,0.500
116,null-source,6,0.500,4,0.500
117,null-source,4,0.750,2,0.250
118,null-source,10,0.500,6,0.500
119,null-source,10,0.500,2,0.500
120,null-source,5,1.000
121,null-source,4,0.429,10,0.143,9,0.143,2,0.143,1,0.143
122,null-source,8,0.500,4,0.500
123,null-source,7,0.500,4,0.500
124,null-source,4,1.000
125,null-source,7,1.000
126,null-source,2,1.000
